,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[3, 111]",-0.061,2.778,-4.998,5.136,0.026,0.027,14079.0,5173.0,1.0
"beta[3, 112]",-0.818,1.446,-3.557,1.112,0.024,0.018,4264.0,1532.0,1.0
"beta[3, 113]",-0.817,1.481,-3.694,1.04,0.022,0.018,4642.0,1849.0,1.0
"beta[3, 114]",-0.783,1.544,-3.768,0.889,0.026,0.02,4186.0,1482.0,1.0
"beta[3, 115]",-0.762,1.571,-3.474,1.172,0.025,0.019,4434.0,1456.0,1.0
"beta[3, 116]",-0.625,1.468,-3.363,1.121,0.026,0.021,3903.0,1185.0,1.0
"beta[3, 117]",-0.741,1.494,-3.495,1.198,0.025,0.018,4214.0,1448.0,1.0
"beta[3, 118]",-0.66,1.527,-3.332,1.41,0.027,0.022,5071.0,2059.0,1.0
"beta[3, 119]",-0.073,2.914,-5.526,5.362,0.026,0.03,13621.0,4935.0,1.0
"beta[3, 120]",-0.034,2.891,-5.425,5.023,0.029,0.029,13150.0,5186.0,1.0
"beta[3, 121]",-0.745,1.489,-3.653,1.395,0.025,0.018,4035.0,1220.0,1.0
"beta[3, 122]",-0.592,1.462,-3.233,1.343,0.024,0.02,4296.0,1709.0,1.0
"beta[3, 123]",-0.051,2.976,-5.599,5.239,0.029,0.03,12864.0,5329.0,1.0
"beta[3, 124]",-0.06,2.795,-5.056,5.312,0.029,0.029,12555.0,5503.0,1.0
"beta[4, 0]",0.0,0.0,0.0,-0.0,0.0,0.0,8000.0,8000.0,
"beta[4, 1]",0.002,0.27,-0.45,0.51,0.003,0.003,12488.0,5860.0,1.0
"beta[4, 2]",-0.003,0.384,-0.746,0.637,0.004,0.004,13885.0,5720.0,1.0
"beta[4, 3]",-0.002,0.421,-0.773,0.778,0.004,0.005,12426.0,5101.0,1.0
"beta[4, 4]",0.01,0.534,-0.908,0.993,0.005,0.005,12472.0,5634.0,1.0
"beta[4, 5]",0.008,0.668,-1.163,1.232,0.009,0.007,6543.0,4764.0,1.0
"beta[4, 6]",-0.001,0.648,-1.222,1.081,0.007,0.007,10104.0,4796.0,1.0
"beta[4, 7]",-0.04,0.748,-1.476,1.191,0.012,0.008,3393.0,4428.0,1.0
"beta[4, 8]",-0.001,0.762,-1.397,1.322,0.008,0.008,12431.0,5525.0,1.0
"beta[4, 9]",-0.001,0.766,-1.288,1.419,0.008,0.008,11863.0,4867.0,1.0
"beta[4, 10]",-0.002,0.86,-1.713,1.42,0.009,0.009,12994.0,5443.0,1.0
"beta[4, 11]",-0.01,0.861,-1.665,1.507,0.008,0.008,13767.0,5471.0,1.0
"beta[4, 12]",0.013,0.882,-1.586,1.59,0.008,0.01,14288.0,5399.0,1.0
"beta[4, 13]",-0.001,0.962,-1.784,1.656,0.009,0.009,12628.0,5572.0,1.0
"beta[4, 14]",0.016,0.98,-1.76,1.777,0.01,0.01,12167.0,4824.0,1.0
"beta[4, 15]",-0.011,1.007,-1.886,1.709,0.01,0.011,12383.0,5051.0,1.0
"beta[4, 16]",0.013,1.042,-1.834,1.906,0.011,0.011,12046.0,4965.0,1.0
"beta[4, 17]",-0.049,1.075,-1.912,1.925,0.014,0.01,5438.0,4959.0,1.0
"beta[4, 18]",0.055,1.176,-2.109,1.985,0.019,0.014,3657.0,4165.0,1.0
"beta[4, 19]",0.009,1.095,-1.856,2.046,0.012,0.01,9135.0,5952.0,1.0
"beta[4, 20]",-0.074,1.08,-2.127,1.745,0.014,0.011,5874.0,5033.0,1.0
"beta[4, 21]",-0.011,1.179,-2.284,1.934,0.012,0.013,11776.0,4588.0,1.0
"beta[4, 22]",0.082,1.302,-2.341,2.489,0.027,0.019,2434.0,2702.0,1.0
"beta[4, 23]",0.037,1.309,-2.192,2.486,0.017,0.015,7290.0,5159.0,1.0
"beta[4, 24]",-0.007,1.254,-2.175,2.215,0.012,0.012,13718.0,4929.0,1.0
"beta[4, 25]",0.154,1.598,-2.325,3.157,0.035,0.025,1839.0,2541.0,1.0
"beta[4, 26]",0.015,1.311,-2.437,2.405,0.013,0.013,11495.0,5315.0,1.0
"beta[4, 27]",0.045,1.38,-2.46,2.451,0.021,0.015,4212.0,4944.0,1.0
"beta[4, 28]",-0.034,1.416,-2.302,2.811,0.019,0.015,6394.0,4872.0,1.0
"beta[4, 29]",-0.05,1.318,-2.547,2.339,0.016,0.013,7967.0,5463.0,1.0
"beta[4, 30]",-0.013,1.413,-2.824,2.437,0.013,0.015,13737.0,5516.0,1.0
"beta[4, 31]",-0.062,1.461,-2.748,2.579,0.018,0.013,6925.0,5052.0,1.0
"beta[4, 32]",0.034,1.458,-2.444,2.702,0.015,0.014,11320.0,5491.0,1.0
"beta[4, 33]",0.058,1.448,-2.565,2.776,0.017,0.013,7302.0,5602.0,1.0
"beta[4, 34]",-0.003,1.468,-2.795,2.589,0.015,0.014,10725.0,6085.0,1.0
"beta[4, 35]",-0.035,1.491,-2.597,2.838,0.015,0.016,10690.0,5249.0,1.0
"beta[4, 36]",0.103,1.775,-3.203,3.17,0.033,0.024,2431.0,3179.0,1.0
"beta[4, 37]",0.109,1.787,-2.994,3.474,0.039,0.028,1889.0,2597.0,1.0
"beta[4, 38]",-0.044,1.636,-2.867,2.892,0.017,0.015,10500.0,5850.0,1.0
"beta[4, 39]",-0.005,1.667,-2.865,3.19,0.018,0.017,10999.0,5277.0,1.0
"beta[4, 40]",-0.059,1.751,-2.886,3.127,0.019,0.019,9814.0,4833.0,1.0
"beta[4, 41]",-0.024,1.696,-3.271,2.662,0.019,0.021,10648.0,5093.0,1.0
"beta[4, 42]",0.067,1.715,-2.819,3.552,0.024,0.018,5062.0,4146.0,1.0
"beta[4, 43]",-0.003,1.622,-2.882,2.965,0.017,0.016,10107.0,6245.0,1.0
"beta[4, 44]",-0.003,1.69,-3.163,2.844,0.016,0.016,12049.0,5750.0,1.0
"beta[4, 45]",-0.037,1.807,-3.141,3.26,0.021,0.018,9146.0,4732.0,1.0
"beta[4, 46]",-0.015,1.764,-3.463,3.107,0.02,0.017,9348.0,5533.0,1.0
"beta[4, 47]",-0.056,1.776,-3.255,3.239,0.021,0.018,8266.0,4890.0,1.0
"beta[4, 48]",-0.019,1.81,-3.211,3.221,0.018,0.018,13861.0,5781.0,1.0
"beta[4, 49]",-0.053,1.852,-3.48,3.253,0.021,0.017,8125.0,5489.0,1.0
"beta[4, 50]",0.009,1.786,-3.205,3.351,0.019,0.019,10964.0,5209.0,1.0
"beta[4, 51]",0.029,1.932,-3.306,3.237,0.022,0.017,9508.0,4684.0,1.0
"beta[4, 52]",-0.002,1.942,-3.379,3.486,0.021,0.019,9710.0,5544.0,1.0
"beta[4, 53]",0.012,1.884,-3.15,3.375,0.02,0.017,10166.0,5375.0,1.0
"beta[4, 54]",-0.029,1.935,-3.604,3.451,0.02,0.02,10603.0,5521.0,1.0
"beta[4, 55]",0.104,2.063,-3.086,4.315,0.042,0.03,2222.0,2870.0,1.0
"beta[4, 56]",0.213,2.297,-3.996,4.313,0.058,0.041,1389.0,2157.0,1.0
"beta[4, 57]",0.014,2.059,-3.553,3.632,0.022,0.022,9308.0,5747.0,1.0
"beta[4, 58]",-0.046,1.916,-3.222,3.668,0.022,0.021,8789.0,4890.0,1.0
"beta[4, 59]",0.061,2.185,-3.467,4.12,0.029,0.022,5653.0,5099.0,1.0
